daydate,shooting_frame,task,timestamp,plant
2017-05-19,elcom_2_c2_wide,6738,1495223835,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-29,elcom_2_c2_wide,6612,1493446072,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-29,elcom_2_c1_wide,6790,1496074174,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-28,elcom_2_c1_wide,6782,1495989374,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-21,elcom_2_c2_wide,6740,1495396653,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-22,elcom_2_c2_wide,6744,1495483021,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-21,elcom_2_c2_wide,6581,1492810320,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-22,elcom_2_c2_wide,6582,1492889197,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-23,elcom_2_c2_wide,6584,1492977232,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-25,elcom_2_c2_wide,6587,1493079501,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-26,elcom_2_c2_wide,6598,1493231610,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-27,elcom_2_c2_wide,6603,1493305876,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-03,elcom_2_c2_wide,6629,1493772304,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-04,elcom_2_c2_wide,6636,1493879525,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-07,elcom_2_c2_wide,6654,1494142217,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-06,elcom_2_c2_wide,6652,1494031508,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-09,elcom_2_c2_wide,6657,1494290691,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-06-01,elcom_2_c1_wide,6805,1496334116,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-06-02,elcom_2_c1_wide,6810,1496420652,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-17,elcom_2_c2_wide,6719,1495051493,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-14,elcom_2_c2_wide,6696,1494796563,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-25,elcom_2_c1_wide,6766,1495727412,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-20,elcom_2_c2_wide,6739,1495310225,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-24,elcom_2_c1_wide,6762,1495643811,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-12,elcom_2_c2_wide,6688,1494619028,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-10,elcom_2_c2_wide,6666,1494374896,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-02,elcom_2_c2_wide,6623,1493705065,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-27,elcom_2_c1_wide,6781,1495900214,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-16,elcom_2_c2_wide,6715,1494959679,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-30,elcom_2_c1_wide,6795,1496159401,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-23,elcom_2_c1_wide,6756,1495564435,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-30,elcom_2_c2_wide,6619,1493578309,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-15,elcom_2_c1_wide,6546,1492286062,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-14,elcom_2_c1_wide,6545,1492201719,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-17,elcom_2_c1_wide,6548,1492458818,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-16,elcom_2_c1_wide,6547,1492372350,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-13,elcom_2_c1_wide,6536,1492105183,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-18,elcom_2_c2_wide,6726,1495137914,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-15,elcom_2_c2_wide,6705,1494884485,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-19,elcom_2_c1_wide,6565,1492637441,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-04-18,elcom_2_c1_wide,6561,1492539945,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-31,elcom_2_c1_wide,6800,1496245607,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-11,elcom_2_c2_wide,6683,1494525025,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
2017-05-26,elcom_2_c1_wide,6783,1495806823,1424/DZ_PG_52/ZM4370/WD/Rep_6/24_44/ARCH2017-03-30
