plantid,timestamp,mature,rank_phenomenal,rank_tracking,rank_annotation,h,l,a,l_extended
1424,1492105183,False,1,1,-1,-726.0,62.911688245431435,180.0,62.911688245431435
1424,1492105183,False,2,2,-1,-682.0,73.85640646055101,45.0,79.38628919978581
1424,1492201719,False,1,1,-1,-714.0,56.8693287272298,170.75388725443676,57.68436697180347
1424,1492201719,False,2,2,-1,-690.0,137.66753757146435,38.06565109873044,140.56495090793084
1424,1492286062,True,1,1,-1,-726.0,70.91168824543144,180.0,71.45989375613568
1424,1492286062,False,2,2,-1,-694.0,164.10900151178322,49.7998361139047,164.10900151178322
1424,1492286062,False,3,3,-1,-622.0,147.99708416856393,151.58733855692742,157.28558738835085
1424,1492372350,True,1,1,-1,-710.0,42.140677708012916,-167.90524292298792,42.898969868285555
1424,1492372350,False,2,2,-1,-678.0,162.55046545210215,57.71533698889477,164.3896225134961
1424,1492372350,False,3,3,-1,-614.0,202.40843397063063,178.60281897270363,208.65617310997362
1424,1492458818,True,1,1,-1,-730.0,66.03944368676558,-169.69515353123398,66.03944368676558
1424,1492458818,False,2,2,-1,-658.0,149.77945491468364,43.69804732742112,155.61313232874843
1424,1492458818,False,3,4,-1,-618.0,141.75517243930366,68.55226367289465,171.5206536089231
1424,1492458818,False,4,3,-1,-558.0,280.94821610076076,-168.0390071457503,284.89256594447716
1424,1492539945,True,1,1,-1,-718.0,66.03944368676558,-169.69515353123398,66.03944368676558
1424,1492539945,False,2,2,-1,-646.0,149.83788311260895,33.88918324745882,150.99238214923412
1424,1492539945,False,3,4,-1,-618.0,213.4378712221535,99.07149757717717,237.58813584085414
1424,1492539945,False,4,3,-1,-546.0,328.9618152541688,-164.21282105566556,332.424068936415
1424,1492637441,True,1,1,-1,-718.0,60.3825894372732,-167.69198418257207,60.3825894372732
1424,1492637441,True,2,2,-1,-662.0,150.1649601833929,33.16322463213728,150.1649601833929
1424,1492637441,False,3,3,-1,-622.0,341.34732052287814,-167.7335137521717,344.2533277834811
1424,1492637441,False,4,4,-1,-550.0,295.5620339453222,90.09167316899322,307.51862139614184
1424,1492810320,True,1,1,-1,-694.0,79.31079266754871,-163.9509952074668,79.31079266754871
1424,1492810320,True,2,2,-1,-614.0,157.70147659411785,-1.859599338745558,157.70147659411785
1424,1492810320,False,3,3,-1,-550.0,331.19012783002114,171.62605023130976,332.23715339320114
1424,1492810320,False,4,4,-1,-502.0,233.54704471175395,131.63353933657018,262.7764057235229
1424,1492810320,False,5,5,-1,-406.0,461.4699211880696,49.688751605411674,467.1630683712814
1424,1492889197,True,1,1,-1,-678.0,66.15427686142094,-143.8067926944353,66.15427686142094
1424,1492889197,True,2,2,-1,-606.0,144.14023140289248,0.0,145.56448978270777
1424,1492889197,False,3,3,-1,-538.0,317.90517969582993,-178.57782187113142,319.022686235069
1424,1492889197,False,4,4,-1,-502.0,512.3981244183451,67.07208920667557,543.6317336138944
1424,1492889197,False,5,5,-1,-418.0,324.5928249703038,131.1689486389433,345.4309787531178
1424,1492977232,True,1,1,-1,-682.0,62.15427686142094,-137.93567344642116,62.15427686142094
1424,1492977232,True,2,2,-1,-606.0,160.86641289579373,5.38242828163004,160.86641289579373
1424,1492977232,False,3,3,-1,-522.0,307.20372698342914,-165.48894049983093,311.2677655445393
1424,1492977232,False,4,4,-1,-502.0,546.511603819542,75.37800332417623,602.5010014661472
1424,1492977232,False,5,5,-1,-414.0,358.81822171472,165.37912601136836,375.34907549141826
1424,1493079501,True,1,1,-1,-686.0,67.42562584220407,-135.0,67.42562584220407
1424,1493079501,True,2,2,-1,-618.0,160.8743523641468,22.68560339757321,160.8743523641468
1424,1493079501,True,3,3,-1,-534.0,307.5045132157352,-164.76237441043688,308.58121196340954
1424,1493079501,False,4,4,-1,-510.0,596.9062303522455,50.708715326163365,620.4996581469219
1424,1493079501,False,5,5,-1,-434.0,529.114738342131,177.49418798927377,544.961350604839
1424,1493079501,False,6,6,-1,-314.0,298.1494270420594,-48.48327146899767,309.27154383079386
1424,1493231610,True,1,1,-1,-674.0,52.497422611928556,-135.0,52.497422611928556
1424,1493231610,True,2,2,-1,-618.0,158.05012700873752,30.722410952286815,160.15100363248862
1424,1493231610,True,3,3,-1,-550.0,348.1878888853143,-160.489921466481,348.1878888853143
1424,1493231610,False,4,4,-1,-482.0,566.3606165592431,42.71177512822722,603.4524946752302
1424,1493231610,False,5,5,-1,-422.0,689.1038624978346,166.86910751104637,728.8318305250365
1424,1493231610,False,6,6,-1,-286.0,447.16675282297916,7.633330587231303,484.2768428320543
1424,1493305876,True,1,1,-1,-694.0,63.42562584220406,-131.11209043916693,63.42562584220406
1424,1493305876,True,2,2,-1,-618.0,152.14887221217623,34.57580662266057,152.14887221217623
1424,1493305876,True,3,3,-1,-546.0,309.76002409840345,-156.22994543642227,313.76081580222444
1424,1493305876,False,4,4,-1,-470.0,570.2593825379957,38.12477096012295,597.6265804321673
1424,1493305876,False,5,5,-1,-418.0,742.2035151768127,165.0675479669062,808.5924942663614
1424,1493305876,False,6,6,-1,-306.0,584.371780138784,20.31282627020737,588.3926722828126
1424,1493446072,True,1,1,-1,-698.0,71.42562584220407,-124.19560540246076,76.96087995170873
1424,1493446072,True,2,2,-1,-606.0,150.35091324104351,28.511246294108744,150.35091324104351
1424,1493446072,True,3,3,-1,-546.0,311.21441030540103,-149.8210680709184,311.21441030540103
1424,1493446072,False,4,4,-1,-454.0,563.831517751085,45.49084718111271,586.386967050331
1424,1493446072,False,5,5,-1,-410.0,799.4355374449224,174.77833494496807,879.8974468202144
1424,1493446072,False,6,6,-1,-278.0,717.3958854736381,54.54187121807878,753.9550676262269
1424,1493446072,False,7,7,-1,-198.0,501.7178647918804,-92.6230909653308,518.5130253736028
1424,1493578309,True,1,1,-1,-698.0,89.66753757146436,-129.96621304379994,89.66753757146436
1424,1493578309,True,2,2,-1,-618.0,158.93597072081138,31.539796777599843,158.93597072081138
1424,1493578309,True,3,3,-1,-546.0,307.9007018064163,-150.59587531075428,313.4091950475978
1424,1493578309,False,4,4,-1,-434.0,542.4589347490544,43.14768347357033,557.5784390771653
1424,1493578309,False,5,5,-1,-410.0,830.0892259898771,176.73305843933423,887.6377206344132
1424,1493578309,False,6,6,-1,-314.0,874.4625513489367,44.15555204684593,901.2458178039651
1424,1493578309,False,7,7,-1,-186.0,650.6741818701507,-104.43047426145007,654.8304578987531
1424,1493705065,True,1,1,-1,-698.0,94.50260126978849,-136.62333252509046,94.50260126978849
1424,1493705065,True,2,2,-1,-622.0,164.7524871894764,27.126756509644537,164.7524871894764
1424,1493705065,True,3,3,-1,-542.0,300.3874410963729,-153.21120555241973,302.63272206706716
1424,1493705065,True,4,4,-1,-454.0,536.8020804995621,45.724989014543134,555.1018025883155
1424,1493705065,False,5,7,-1,-414.0,821.7184549189268,-179.31800669939676,877.1471146029069
1424,1493705065,False,6,6,-1,-306.0,940.7251289536956,50.60489046308226,1006.2307987046223
1424,1493705065,False,7,8,-1,-182.0,421.92169468067397,15.890144443108918,433.7926354514678
1424,1493705065,False,8,5,-1,-154.0,779.1920636576855,-150.06007614221963,800.4522170576512
1424,1493772304,True,1,1,-1,-698.0,90.43854810888287,-128.89390615271574,90.43854810888287
1424,1493772304,True,2,2,-1,-626.0,154.51057546021613,19.266411785337706,154.51057546021613
1424,1493772304,True,3,3,-1,-546.0,320.0019358276637,-154.45316702586354,322.0523603039635
1424,1493772304,True,4,4,-1,-466.0,536.703762309751,46.76496181417462,597.1392707005426
1424,1493772304,False,5,5,-1,-402.0,800.6872473249068,-156.60604189457948,932.366879916782
1424,1493772304,False,6,7,-1,-298.0,733.8389114719345,-163.84377127241405,743.3055293431182
1424,1493772304,False,7,6,-1,-174.0,861.589606021825,58.788015964405076,1085.234073760069
1424,1493772304,False,8,8,-1,-106.0,692.578184756297,35.36141218698832,766.3856386225721
1424,1493879525,True,1,1,-1,-698.0,92.09540235837525,-131.9335144988741,92.09540235837525
1424,1493879525,True,2,2,-1,-622.0,157.3755006732048,24.08893850336928,157.3755006732048
1424,1493879525,True,3,3,-1,-558.0,311.89001848444445,-167.12761903373752,322.2903646331476
1424,1493879525,True,4,4,-1,-474.0,569.5730910369808,45.671148433228495,581.986714896878
1424,1493879525,False,5,5,-1,-382.0,868.0252382992716,-149.6935255742056,913.4886463104713
1424,1493879525,False,6,7,-1,-294.0,933.8573622844419,-158.09912098812615,933.8573622844419
1424,1493879525,False,7,6,-1,-194.0,1050.6691702820854,62.45762782909942,1093.579879655344
1424,1493879525,False,8,8,-1,-86.0,716.1927405444151,33.04427709106277,744.8972185408221
1424,1493879525,False,9,9,-1,-78.0,416.9812460704493,-38.95590783775889,447.3856708267474
1424,1494031508,True,1,1,-1,-698.0,84.30355361338398,-151.8493114118251,84.30355361338398
1424,1494031508,True,2,2,-1,-622.0,156.53437748088547,25.645946393363754,156.53437748088547
1424,1494031508,True,3,3,-1,-554.0,306.29068496453925,179.969764762958,315.0222572903339
1424,1494031508,True,4,4,-1,-474.0,510.66140279154916,46.991635778789956,608.0638527092734
1424,1494031508,False,5,5,-1,-354.0,730.3470174058357,-153.3682353508242,883.5342967227906
1424,1494031508,False,6,6,-1,-290.0,967.2649110838252,47.16122143630253,1110.5478909342112
1424,1494031508,False,7,7,-1,-186.0,897.6276959351321,-151.94828121303624,1156.235351595401
1424,1494031508,False,8,8,-1,-106.0,737.7784749109117,35.81677284084596,904.324161969276
1424,1494031508,False,9,9,-1,-50.0,601.5054392255748,-99.64916576390952,606.3474955298562
1424,1494142217,True,1,1,-1,-698.0,85.65393841805634,-135.27948939054477,85.65393841805634
1424,1494142217,True,2,2,-1,-634.0,158.19123173037784,27.589156878285127,158.19123173037784
1424,1494142217,True,3,3,-1,-554.0,300.6338307150469,179.7880186963015,300.6338307150469
1424,1494142217,True,4,4,-1,-470.0,558.6719755772111,49.7023550940961,586.7509311857652
1424,1494142217,False,5,5,-1,-334.0,743.6183663866187,-150.80621256573866,859.3011782445672
1424,1494142217,False,6,6,-1,-294.0,887.754566205218,55.923247735324495,1126.8741226951108
1424,1494142217,False,7,7,-1,-174.0,927.3418626296923,-126.03829102588479,1173.8590315167248
1424,1494142217,False,8,8,-1,-118.0,834.6614027915492,55.136645477232115,834.6614027915492
1424,1494142217,False,9,10,-1,-30.0,399.8822509939085,0.0,414.23166505212083
1424,1494142217,False,10,9,-1,-10.0,666.136859709442,-92.374220594915,675.3979649162457
1424,1494374896,True,1,1,-1,-698.0,82.62450116653348,-133.5159853243379,86.03395752802709
1424,1494374896,True,2,2,-1,-626.0,142.05012700873755,53.800197876380516,143.5387390524586
1424,1494374896,True,3,3,-1,-554.0,306.8182217147199,163.6491939620607,330.87698242600493
1424,1494374896,True,4,4,-1,-474.0,544.4029760774449,51.544866931914775,587.1255637990398
1424,1494374896,True,5,5,-1,-378.0,750.9290485178575,-155.61980742558018,851.8341163099508
1424,1494374896,False,6,6,-1,-294.0,919.2318811141366,36.245981841836866,1100.0984325445065
1424,1494374896,False,7,8,-1,-178.0,1044.9003986893729,64.97005918833274,1154.1476410449045
1424,1494374896,False,8,10,-1,74.0,568.8770962177658,-34.98080771738808,604.5555058309885
1424,1494374896,False,9,9,-1,-2.0,759.2969142788161,-124.53909856959746,844.2669898473608
1424,1494374896,False,10,7,-1,150.0,1076.5509853094786,-139.73922414287006,1206.1826460614823
1424,1494525025,True,1,1,-1,-698.0,92.69394845524107,-154.56776858128947,93.46628268427436
1424,1494525025,True,2,2,-1,-686.0,83.49674572519933,-51.927218126009166,139.43459099686416
1424,1494525025,True,3,3,-1,-562.0,321.0737325973882,156.78416730224603,325.86016573349997
1424,1494525025,True,4,4,-1,-474.0,560.4876951138481,49.6367563962009,581.862387400673
1424,1494525025,True,5,5,-1,-346.0,811.1180279432546,-152.8308613901512,823.2001950314831
1424,1494525025,False,6,6,-1,-274.0,995.3030009971338,47.81243591406736,1059.2854021329658
1424,1494525025,False,7,7,-1,-154.0,1188.672668167728,-124.02444022623824,1227.930848754421
1424,1494525025,False,8,8,-1,-110.0,1165.8190153402068,57.008719644116894,1214.8728712387992
1424,1494525025,False,9,9,-1,-30.0,674.7684684756688,-136.98545858451692,674.7684684756688
1424,1494525025,False,10,10,-1,30.0,757.2158734511524,-26.050362224960562,769.8008239374922
1424,1494619028,True,1,1,-1,-698.0,85.68246264394554,-147.43544150252765,88.93010526877153
1424,1494619028,True,2,2,-1,-690.0,173.88404276953034,-28.319072830444085,176.5960457111098
1424,1494619028,True,3,3,-1,-558.0,303.6028314055464,157.3419196734825,319.32240788274066
1424,1494619028,True,4,4,-1,-474.0,557.4747728471697,51.25167866225789,585.3902777586719
1424,1494619028,True,5,5,-1,-346.0,710.1610643481852,-150.98002662040165,833.0722770942136
1424,1494619028,False,6,6,-1,-262.0,852.4925467729493,47.821528842894246,1053.2068151076376
1424,1494619028,False,7,7,-1,-174.0,1120.7826515230217,-124.1215614832178,1236.1854942999469
1424,1494619028,False,8,9,-1,-126.0,926.9563573609825,-144.68409416698057,999.6999216574818
1424,1494619028,False,9,8,-1,2.0,1162.3339889349936,62.80502952110148,1216.0029146841632
1424,1494619028,False,10,10,-1,86.0,736.9530677598602,-16.343230818529623,760.7795885594998
1424,1494796563,True,1,2,-1,-690.0,131.54087518476697,-22.096311629660402,178.4575878114975
1424,1494796563,True,2,3,-1,-582.0,281.16136746522744,162.01695906064288,346.2635367558518
1424,1494796563,True,3,4,-1,-482.0,492.40104024978103,53.31214386465475,564.9644998201453
1424,1494796563,True,4,5,-1,-374.0,689.7454449412236,-152.98805597611607,827.2095838241191
1424,1494796563,False,5,6,-1,-234.0,824.1917605406437,49.140830488316475,1007.0885443653897
1424,1494796563,False,6,7,-1,-190.0,1066.0617661546028,-123.7652484864822,1208.5477190605034
1424,1494796563,False,7,9,-1,-110.0,1005.5279405629964,-158.8898542650486,1091.6025932451832
1424,1494796563,False,8,8,-1,34.0,1104.1674780652645,65.18142162818417,1212.4324469562578
1424,1494796563,False,9,10,-1,110.0,783.0063188845545,3.12111911621157,831.7876156085716
1424,1494796563,False,10,11,-1,130.0,499.5074290471714,133.7981669355479,523.6442288473668
1424,1494796563,False,11,12,-1,142.0,465.45438620699764,-80.69005982501396,478.35085666056614
1424,1494884485,True,1,2,-1,-690.0,73.95122457735073,-17.52556837372287,182.15154775221805
1424,1494884485,True,2,3,-1,-562.0,275.2338411216812,160.8702080933771,335.38590377416244
1424,1494884485,True,3,4,-1,-474.0,487.5151965377072,57.790326617135925,530.2740134858399
1424,1494884485,True,4,5,-1,-354.0,760.1955079254926,-152.35225893651932,814.505852427834
1424,1494884485,False,5,6,-1,-214.0,763.5248998559078,52.4119215609661,1004.7166846857377
1424,1494884485,False,6,7,-1,-214.0,1094.8318637537757,-126.60121553243806,1200.4329108728891
1424,1494884485,False,7,8,-1,-102.0,1117.1380408137418,66.6766928446802,1199.3528887472119
1424,1494884485,False,8,10,-1,66.0,847.9668990795057,8.249018542656765,892.6586704252223
1424,1494884485,False,9,9,-1,114.0,1027.5824205854938,-148.87129005589884,1126.8943156240025
